D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|Truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
77234|2008|Toyota|Camry|Sedan|Silver|185632|5999.00
65587|2015|Chevrolet|Malibu|Sedan|Black|92000|8995.00
44875|2006|Nissan|Altima|Sedan|Blue|137850|3995.00
56239|2019|Jeep|Wrangler|SUV|Green|32000|25995.00
98321|2005|Honda|Accord|Sedan|White|150500|4999.00
22873|2017|Ford|Escape|SUV|Silver|75000|14995.00
31456|2010|Toyota|Corolla|Sedan|Red|105000|6995.00
72983|2016|Hyundai|Elantra|Sedan|Gray|62000|8495.00
35678|2018|Volkswagen|Jetta|Sedan|Blue|43000|12995.00
72105|2013|Chevrolet|Malibu|Sedan|Blue|98345|7995.00
23487|2008|Toyota|Corolla|Sedan|White|135622|4995.00
65721|2015|Nissan|Altima|Sedan|Black|87654|8450.00
39821|2006|Honda|Accord|Sedan|Silver|149876|3995.00
98765|2014|Kia|Sorento|SUV|Brown|67890|9250.00
54321|1998|Hyundai|Elantra|Sedan|Red|99873|6300.00
56432|2011|Chevrolet|Cruze|Sedan|Blue|112345|4750.00
90876|2009|Jeep|Wrangler|SUV|Green|155432|10750.00
34567|2007|Ford|Fusion|Sedan|White|167890|3750.00
43210|2015|Mazda|CX-5|SUV|Gray|94567|8600.00
56789|2006|Subaru|Outback|Wagon|Blue|179654|4900.00
67890|2013|Volkswagen|Jetta|Sedan|Silver|104321|7500.00
78901|2014|BMW|328i|Sedan|Black|90567|10500.00
89012|2012|Mercedes-Benz|C-Class|Sedan|White|112987|9500.00
90123|2008|Audi|A4|Sedan|Gray|140567|6750.00
10134|2010|Lexus|RX 350|SUV|Blue|23456|8800.00
11245|2011|Ford|Escape|SUV|Red|10234|7300.00
12356|2009|Toyota|Camry|Sedan|Green|145678|6200.00
13467|2007|Honda|CR-V|SUV|Black|16890|5500.00
14578|2015|Chevrolet|Tahoe|SUV|Silver|9865|8500.00
15689|2014|Nissan|Rogue|SUV|White|87654|9700.00
16790|2006|Mazda|3|Sedan|Blue|154321|3500.00
17801|2013|Ford|Edge|SUV|Gray|109876|8700.00
18912|2012|Chevrolet|Equinox|SUV|Red|98765|8400.00
19023|2010|Subaru|Forester|SUV|Green|132456|6900.00
20134|2009|Hyundai|Santa Fe|SUV|Blue|145678|5400.00
21245|2015|Toyota|RAV4|SUV|Silver|87654|12000.00
22356|2011|Kia|Optima|Sedan|Black|109876|6700.00
23467|2013|Chevrolet|Impala|Sedan|White|98765|7500.00
24578|2007|Jeep|Grand Cherokee|SUV|Gray|176543|5800.00
25689|2006|Nissan|Murano|SUV|Red|154321|4900.00
26790|2014|Ford|Explorer|SUV|Blue|87654|12750.00
27801|2008|Toyota|Highlander|SUV|Silver|145678|7800.00
28912|2010|Honda|Pilot|SUV|Green|23456|8300.00
29023|2009|Chevrolet|Traverse|SUV|Black|14321|6500.00
30134|2015|Mazda|CX-9|SUV|Red|98765|14000.00
31245|2013|Hyundai|Tucson|SUV|White|109876|8600.00
32356|2011|Ford|Flex|SUV|Blue|145678|7200.00
33467|2007|Toyota|4Runner|SUV|Silver|167890|6700.00
34578|1995|Nissan|Pathfinder|SUV|Gray|98765|9000.00
35689|2014|Chevrolet|Silverado|Truck|Red|87654|17500.00
36790|2010|Ford|F-150|Truck|Blue|145678|11500.00
37801|2009|Dodge|Ram 1500|Truck|Black|132456|10750.00
38912|2006|Toyota|Tacoma|Truck|White|154321|6900.00
39023|2008|Honda|Ridgeline|Truck|Silver|145678|8500.00
40134|2012|GMC|Sierra|Truck|Gray|98765|12000.00
41245|2015|Ram|2500|Truck|Blue|87654|19500.00
42356|2013|Nissan|Frontier|Truck|Red|109876|7500.00
43467|2010|Chevrolet|Colorado|Truck|Green|154321|9200.00
44578|2009|Ford|Ranger|Truck|Black|145678|6700.00
45689|2006|Toyota|Tundra|Truck|Silver|167890|7400.00
46790|2014|Chevrolet|Avalanche|Truck|White|98765|14500.00
47801|2008|Nissan|Titan|Truck|Gray|154321|5500.00
48912|2010|Honda|CR-V|SUV|Blue|132456|8900.00
49023|2009|Toyota|RAV4|SUV|Red|154321|7600.00
50134|1994|Ford|Escape|SUV|Green|98765|12800.00
51245|2013|Chevrolet|Equinox|SUV|Black|87654|9500.00
52356|2011|Nissan|Rogue|SUV|White|145678|7800.00
53467|2007|Mazda|CX-7|SUV|Gray|154321|5700.00
54578|2012|Ford|Edge|SUV|Red|98765|10250.00
55689|1997|Toyota|Highlander|SUV|Blue|87654|14000.00
56790|2010|Honda|Pilot|SUV|Black|145678|9200.00
57801|2009|Hyundai|Santa Fe|SUV|Green|132456|6900.00
58912|2006|Chevrolet|Traverse|SUV|Silver|154321|5700.00
59023|2008|Mazda|CX-9|SUV|White|145678|8500.00
60134|2015|Kia|Sorento|SUV|Gray|98765|13500.00
61245|1992|Toyota|4Runner|SUV|Blue|109876|3500.00
62356|2011|Ford|Flex|SUV|Red|145678|7200.00
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|Truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
77234|2008|Toyota|Camry|Sedan|Silver|185632|5999.00
63215|2015|Chevrolet|Malibu|Sedan|Black|92000|8999.00
27893|2009|Nissan|Frontier|Truck|Blue|144000|7995.00
51024|2018|Jeep|Wrangler|SUV|Green|32000|25995.00
5477|2005|Dodge|Caravan|Van|White|190000|3999.00
92031|2019|Hyundai|Sonata|Sedan|Silver|25000|14995.00
74382|2016|GMC|Sierra|Truck|Red|55000|27995.00
36509|2013|Subaru|Outback|SUV|Gray|98000|11995.00
80326|2007|Ford|Focus|Sedan|Blue|120000|2995.00
21267|2014|Toyota|Tundra|Truck|Black|75000|28995.00
59814|2003|Honda|CR-V|SUV|Silver|155000|4995.00
46821|2011|Chevrolet|Impala|Sedan|White|85000|6995.00
13752|2006|Toyota|Tacoma|Truck|Silver|160000|13995.00
91930|2017|Ford|Escape|SUV|Black|42000|17995.00
57682|2004|Nissan|Altima|Sedan|Gray|135000|3995.00
23456|2010|RAM|1500|Truck|Red|120000|15995.00
60928|1997|Kia|Sportage|SUV|Blue|28000|18995.00
80123|2002|Volvo|XC90|SUV|Silver|172000|5995.00
49837|2015|Ford|Fusion|Sedan|Black|67000|12995.00
35681|2008|Chevrolet|Silverado|Truck|White|110000|16995.00
74513|2018|Jeep|Cherokee|SUV|White|32000|22995.00
82340|2012|Toyota|Corolla|Sedan|Red|94000|7995.00
18459|2001|GMC|Savana|Van|White|200000|4995.00
51234|2016|Honda|Pilot|SUV|Blue|45000|24995.00
69327|2005|Dodge|Ram|Truck|Black|145000|10995.00
91782|2013|Hyundai|Elantra|Sedan|Silver|81000|8995.00
26574|2011|Ford|Expedition|SUV|Gray|88000|16995.00
74920|2009|Nissan|Sentra|Sedan|White|115000|5995.00
38401|2014|Toyota|RAV4|SUV|Black|69000|17995.00
62918|2006|Chevrolet|Colorado|Truck|Blue|125000|7995.00
84120|2017|Subaru|Forester|SUV|Green|37000|21995.00
53217|2003|Ford|Taurus|Sedan|Gold|150000|3495.00
29561|2010|Dodge|Grand Caravan|Van|Silver|98000|7995.00
